id,name,position,organization,created_at
004df252-a57f-4421-a2fd-3737042140fe,Felix Vargas,Consejero Regional,CORE Los Lagos,2026-03-09 22:59:17.67581+00
00f4cf8a-eca5-4f4e-8eb4-aafca92b0765,Jaime Bertín Valenzuela,Alcalde,Municipalidad de Osorno,2026-04-28 00:03:28.495428+00
06fd8d32-8ef6-496b-ba13-5bf9d23bf381,Paulina Muñoz Minte,Diputada,Congreso Nacional de Chile,2026-04-28 00:03:28.495428+00
08114008-1cec-46cc-b80e-076ffa62cfd6,Alejandro Cárdenas Quezada,Alcalde,Municipalidad de Puqueldón,2026-04-28 00:03:28.495428+00
08a8c576-cf09-4e5b-9a42-27e385785247,Eduardo Leiva Zumelzu,Seremi de Cultura,"Seremi de las Culturas, las Artes y el Patrimonio",2026-04-28 00:03:28.495428+00
0d6f9e48-9510-4027-a4c9-ed2e92e9b6f9,Karen Berríos Guerra,Seremi de la Mujer y Equidad de Género,Seremi de la Mujer y Equidad de Género,2026-04-28 00:03:28.495428+00
0dc19257-d4d9-4b4e-a1de-1c016b5cbd4a,María Alejandra Villegas Huichamán,Alcaldesa,Municipalidad de Dalcahue,2026-04-28 00:03:28.495428+00
0e748230-9d3a-4a9b-8c64-50b524f74015,Gabriela Manoli Sanhueza,Directora Técnica Centro de Innovación Regional,Universidad Austral de Chile,2026-04-28 00:03:28.495428+00
0fcb9252-3a78-48ad-9555-6390498a9361,Claudio Barudy Labrìn,Alcalde,Municipalidad de Quellón,2026-04-28 00:03:28.495428+00
110c3148-43cf-4783-a073-eb25657876db,Javier Hernán Ugarte Mansilla,Alcalde,Municipalidad de Quemchi,2026-04-28 00:03:28.495428+00
1180c1f0-c85f-4ac5-bdfb-30ec9a3a0852,Jairo Quinteros Mayne,Seremi de Obras Públicas,Seremi de Obras Públicas,2026-04-28 00:03:28.495428+00
13aaa105-a734-4f07-82a1-c0f53e24de84,Rodrigo Böttger Quiroz,Seremi de Transportes y Telecom.,Seremi de Transportes y Telecomunicaciones,2026-04-28 00:03:28.495428+00
14704650-9fa8-4864-a49d-909edda9c34d,Daniel Lilayu Vivanco,Diputado,Congreso Nacional de Chile,2026-04-28 00:03:28.495428+00
14c89004-d485-4088-95aa-cd0fe4d6b083,Rodrigo Wainraihgt,Alcalde,Municipalidad de Puerto Montt,2026-03-09 22:59:17.67581+00
14d3d2e1-cd57-47c0-87df-8fefeea52247,Claudio Valdivia Romero,Seremi de Justicia,Seremi de Justicia y Derechos Humanos,2026-04-28 00:03:28.495428+00
14dba381-36b8-434a-b336-d9fec018e2e3,Verónica Cárdenas Navarro,Concejala Puerto Montt,Municipalidad de Puerto  Montt,2026-04-28 00:03:28.495428+00
174dd420-ccf7-4e36-b3b8-bab5dc8b8509,Alexis Casanova Cárdenas,Consejero Regional Prov. Osorno,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
18ec73dc-a22d-46d7-a696-f0fbb92e3446,Fernando Grandón Domke,Alcalde,Municipalidad de Futaleufú,2026-04-28 00:03:28.495428+00
1997933d-4010-4f62-b443-e9b4a88b7635,Marcelo Cifuentes Gallegos,Delegado Presidencial Provincia de Palena,Delegación Presidencial Provincial de Palena,2026-04-28 00:03:28.495428+00
19f2dac2-2907-4130-9e21-dde8ec58dcfd,Tito Gómez Marquez,Consejero Regional Prov. Llanquihue,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
1a1b7b02-2e76-4dc1-be4b-052d3ed37d9f,Mario Marchant Martínez,Seremi de Vivienda y Urbanismo,Seremi de Vivienda y Urbanismo,2026-04-28 00:03:28.495428+00
1ff45e89-a1bf-4f70-81e5-13ca025d0391,Javier Arismendi Valenzuela,Alcalde,Municipalidad de Frutillar,2026-04-28 00:03:28.495428+00
217efd4a-9051-49e8-b4e6-08f1713b12ab,Cristian Olavarría Navarro,Alcalde (S),Municipalidad de Llanquihue,2026-04-28 00:03:28.495428+00
28fc5d8b-18e3-4183-a16e-e15f29331182,Sergio Hermosilla,Rector Sede de la Patagonia,Universidad San Sebastián,2026-04-28 00:03:28.495428+00
29311f35-fd41-4c27-bf42-01bb9b884ef3,Alejandro Santana,Gobernador Regional,GORE Los Lagos,2026-03-09 22:59:17.67581+00
297163c7-0baa-4501-9e33-8177222332ea,Alicia Villar Vargas,Alcaldesa,Municipalidad de Purranque,2026-04-28 00:03:28.495428+00
2a4f2666-5fd2-46b4-b572-6c9c38ef70a7,Bárbara Álvarez Méndez,Concejala Puerto Montt,Municipalidad de Puerto  Montt,2026-04-28 00:03:28.495428+00
2f3971a1-93c1-405d-8f8a-ea98d24d00a8,Bárbara Cáceres Martínez,Concejala Puerto Montt,Municipalidad de Puerto  Montt,2026-04-28 00:03:28.495428+00
2f83045c-fb16-4c2e-9e1e-86474eb39c63,Emilia Nuyado Ancapuchún,Diputada,Congreso Nacional de Chile,2026-04-28 00:03:28.495428+00
340d89d6-91d0-4ac0-8208-b0ebb1f95b4a,Matías Domeyko Prieto,Jefe de División Fomento e Industria,DIFOI GORE Los Lagos,2026-04-28 00:03:28.495428+00
34eba03b-e3b1-4733-89d8-6c9ff4998c26,Sebastián Cruzat Cárcamo,Alcalde,Municipalidad de Río Negro,2026-04-28 00:03:28.495428+00
3a991ce0-479f-44d0-8809-4359a9e987a0,Cristian Palma Valdés,Delegada Presidencial Los Lagos,Delegación Presidencial Regional de Los Lagos,2026-04-28 00:03:28.495428+00
3bbeb4e2-ef1f-48ec-afca-bb4e9b788382,Dalmiro Yáñez Martínez,Seremi de Educación,Seremi de Educación,2026-04-28 00:03:28.495428+00
3f694d15-c8d4-43d0-86eb-6053c179c6ae,Fernando Oyarzún Macías,Alcalde,Municipalidad de Chonchi,2026-04-28 00:03:28.495428+00
3fa4b2bd-9db0-4ce1-ac8d-8fd76a321333,Carlos Kuschel Silva,Senador,Congreso Nacional de Chile,2026-04-28 00:03:28.495428+00
4053141f-73c6-41f6-a73e-4de00a8cc14a,Claudia Reyes Larenas,Diputada,Congreso Nacional de Chile,2026-04-28 00:03:28.495428+00
455c293c-8c2c-4dbb-9580-68ce942105bc,Francisco Cárcamo Hernández,Seremi de Agricultura,Seremi de Agricultura,2026-04-28 00:03:28.495428+00
471bf4c9-4c50-4303-9968-e0f9817d84dd,Baltazar Elgueta Cheuquepil,Alcalde,Municipalidad de Castro,2026-04-28 00:03:28.495428+00
4815e53f-956e-40a1-94ca-a06b41cc2451,Nabih Soza Cárdenas,Alcalde,Municipalidad de Maullín,2026-04-28 00:03:28.495428+00
48ce1129-f0c8-44be-8363-e14479c8c587,Yasna Vásquez Vidal,Consejera Regional Prov. Llanquihue,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
49262217-34bb-4b37-b8b5-4cbe58080fd8,Carlos Schwalm Urzua,Consejero Regional Prov. Osorno,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
4d507e05-c1fd-4d5e-81e2-89445a121b69,Fernando Bórquez Montecinos,Delegado Presidencial Prov. de Chiloé,Delegación Presidencial Provincial de Chiloé,2026-04-28 00:03:28.495428+00
54cc21fc-babf-4c97-bf0b-da134a66482c,Montserrat Müller Sanhueza,Concejala Puerto Montt,Municipalidad de Puerto  Montt,2026-04-28 00:03:28.495428+00
56cd37eb-5751-4809-8fdb-9f767ee99aa2,Alejandro Bernales Maldonado,Diputado,Congreso Nacional de Chile,2026-04-28 00:03:28.495428+00
5b9f462e-34f2-4ae9-98fe-3520e83fdeaf,María Jimena Núñez Morales,Alcaldesa,Municipalidad de Puyehue,2026-04-28 00:03:28.495428+00
5e54424d-67d2-4337-975f-54346265a076,Alejandro Rehbein Caerols,Delegado Presidencial Prov. de Osorno,Delegación Presidencial Provincial de Osorno,2026-04-28 00:03:28.495428+00
632b70b3-f241-4f56-8a85-fcc9c608ca24,Gisela Strauch Stange,Seremi de Economía,Seremi de Economía,2026-04-28 00:03:28.495428+00
65d9e8cf-77e7-4147-88f9-712ce31cf2c4,Sebastián Almonacid Fuica,Concejal Puerto Montt,Municipalidad de Puerto  Montt,2026-04-28 00:03:28.495428+00
67bec79b-82c2-43f1-a244-cd3ec4694ff9,Rodrigo Zeballos Quinteros,General de Brigada Aérea,FACH,2026-04-28 00:03:28.495428+00
6b695d9e-3a3e-4dfe-8624-436b7d09c00d,Andrés Niklitschek Strauch,Seremi de Energía,Seremi de Energía,2026-04-28 00:03:28.495428+00
6f6bd939-b94b-4305-96bf-0961413b3cd3,Rodrigo Díaz González,Seremi de Gobierno,Seremi de Gobierno,2026-04-28 00:03:28.495428+00
719f9f14-de05-42f0-8c74-ec752ab47b6e,Mirta Vega Barría,Concejala Puerto Montt,Municipalidad de Puerto  Montt,2026-04-28 00:03:28.495428+00
72c85586-1fb5-4557-b9ab-0482685fbe40,René Garcés Álvarez,Alcalde,Municipalidad de Quinchao,2026-04-28 00:03:28.495428+00
72dffb1a-db45-4c3e-bfc9-f50bfe0f0617,José Miguel Cárdenas Barría,Alcalde,Municipalidad de Fresia,2026-04-28 00:03:28.495428+00
7391c142-9972-48ca-8a65-4e5dde9495d0,Evelyn Brintrup Flores,Seremi de Salud,Seremi de Salud,2026-04-28 00:03:28.495428+00
78020fd2-1fd4-413c-937f-aa2866116688,Maria Elena Ojeda Betancourt,Alcaldesa,Municipalidad de Puerto Octay,2026-04-28 00:03:28.495428+00
7979b5c2-ba65-4f9b-a507-a30965c618b8,Marco Carrillo Bravo,Alcalde,Municipalidad de San Pablo,2026-04-28 00:03:28.495428+00
7cc31ea9-f98d-4236-b1b4-b4ba2fc5a285,Valeria Baza Rojas,Concejala Puerto Montt,Municipalidad de Puerto  Montt,2026-04-28 00:03:28.495428+00
7ee68c9f-b182-420a-9501-b933acf2cf69,Fernando Monrás,Vicerrector Sede Osorno,INACAP,2026-04-28 00:03:28.495428+00
